requisito_id,fonte_da_descricao,status,evidencia_codigo,observacao
COP-ONB-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase; descrição completa vive no Executar-app-Blueprint, não clonado nesta sessão)",parcial,"Nenhuma jornada de onboarding nomeada em packages/agent-runtime ou apps/app. AGENT_FLOW_PHASES começa em SYNC, não em uma fase ATIVACAO/onboarding.",Camada 1 (Visão Normativa: Onboarding→Scanner→Productivity→Operations→Modo Rotina→1º Entregável) inteira ainda não codificada — confirma plano §7 Fase 1/5 como trabalho futuro. Descrição funcional exata do requisito não verificável sem o Blueprint.
COP-DAT-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase)",nao_verificavel,"Sem match de nome/arquivo identificável no código.","Descrição do requisito não disponível nesta sessão (corpus Blueprint fora de escopo GitHub). Registrar DECISAO_REQUERIDA: pedir ao usuário o texto do requisito ou acesso ao Blueprint antes de implementar."
COP-BKL-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase) + inferência de nome (backlog)",parcial,"packages/application/src/{eligibility,next-action,rank-eligible-tasks}.ts implementam elegibilidade e priorização de Task; task-state.ts define BACKLOG_VALIDATED. Não há um pipeline de 'Productivity'/backlog nomeado como no plano §6.5 (skill executar-backlog inexistente).",Lógica de estado/elegibilidade do backlog operacional (Camada 2) existe e é testada; a etapa normativa de configuração inicial de backlog (Camada 1) não existe.
COP-CFG-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase) + inferência de nome (configuração/Operations)",ausente,"Nenhum pacote/rota de 'modelo operacional' ou configuração de cadência/responsáveis/canais encontrado.","packages/routines existe (pipeline/idempotência) mas não a etapa normativa 'Operations' da Camada 1 (rotinas propostas, 10 campos)."
COP-AUT-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase) + inferência de nome (autoridade)",existente,"packages/routines/src/authority-gate.ts; packages/schemas/src/{authority,authority-decision}.ts; BehaviorAuthority enum no Prisma; MCP tools retornam HUMAN_REQUIRED para transições sensíveis (packages/mcp/src/server.ts).","Mecanismo de autoridade/confirmação humana já implementado e testado na Camada 2 — mais maduro que os demais candidatos."
COP-COG-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 + plano §5.2 'router cognitivo v0.1' (blueprint multiagente com placeholders)",ausente,"Nenhum 'router cognitivo' ou blueprint multiagente encontrado em packages/. O único roteamento existente é o command-router citado em comentário (packages/agent-runtime/src/output-schema.ts, prompts/system.ts) referenciando um arquivo que não existe no Blueprint (GAP já documentado no próprio código).",Plano §6.2 já recomenda descartar o blueprint multiagente como fonte de arquitetura (C6) — consistente com a ausência encontrada.
COP-OUT-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase) + inferência de nome (output schema)",existente,"packages/agent-runtime/src/output-schema.ts define orchestratorOutputSchema; validado por 8 testes (__tests__/output-schema.test.ts); usado em apps/api/app/copilot/command/route.ts via validateOrchestratorOutput().",Contrato de saída determinístico já implementado, testado e em uso real na rota HTTP.
COP-SKL-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 (paráfrase) + inferência de nome (skills)",ausente,"packages/copiloto-skills não existe; nenhum .claude/ no repo; skills/next-forge/SKILL.md é do template, não do produto.","Confirma Fase 6 (D5: forkar/traduzir Productivity/Operations como executar-*) 100% não iniciada."
APP-SCR-001,"PLANO_EXECUTAR_COPILOTO.md §5.2/§6/Fase 7 — 'Scroll Task': tela 33/33/33, unidade ativa no centro, estados idle/running/expanded/completed/deferred/timer_elapsed",ausente,"Nenhuma tela ou componente com esse layout/estado encontrado em apps/app ou apps/mobile (telas existentes: now, today/tomorrow/yesterday, projects, sprint, roadmap — sem o padrão 33/33/33 nem os estados citados).",Fase 7 do plano, explicitamente não iniciada.
APP-VIS-001,"PLANO_EXECUTAR_COPILOTO.md §5.2/§6/Fase 8 — Scanner Visual, símbolos SYM-CHAT-001/SYM-SELECTOR-001/SYM-DONE-001, p95≤500ms",parcial,"packages/scanner (lógica pura, 41 testes) + apps/mobile/src/features/scanner/vision/dinov2-encoder.ts (integração ONNX real, session.run() nunca executado contra modelo real — comentário do próprio arquivo).",Confirma REC-006 (HIGH) ainda aberto. Benchmark p95 não medido — bloqueador explícito da Fase 8, não apenas trabalho pendente.
SDK-AGT-001,"PLANO_EXECUTAR_COPILOTO.md §5.2 — 'DECISAO_REQUERIDA, fechado por D2 nesta sessão'",conflitante,"packages/agent-runtime/package.json depende de ai@^6.0.116 (Vercel AI SDK); zero ocorrências de @anthropic-ai/claude-agent-sdk no repo inteiro (grep recursivo).",Decisão D2 (migrar tudo para Claude Agent SDK) está APROVADA mas NÃO EXECUTADA — o código real ainda usa o SDK anterior. Fase 2 do plano é exatamente esta migração; risco central do plano (ver PLANO_IMPLEMENTACAO_INCREMENTAL.md).
VISAO-NORMATIVA-CAMADA1,"Declarada pelo usuário como decisão funcional confirmada (plano §5.1) — Onboarding→Scanner→Productivity→Operations→Modo Rotina→1º Entregável; metodologia 8 passos; Productivity antes de Operations; máquina Proposto→Confirmado→Ativo⇄Pausado",ausente,"Nenhum enum/máquina de estados com esses nomes exatos em packages/domain ou packages/schemas. AGENT_FLOW_PHASES (Camada 2) é uma sequência diferente e já implementada.",A Camada 1 inteira (ativação, uma vez por tenant) é trabalho 100% futuro — Fases 1 e 5 do plano. Não há conflito de código, apenas ausência total.
